COMPOUND,YEAR,STATE_FIPS_CODE,COUNTY_FIPS_CODE,EPEST_LOW_KG,EPEST_HIGH_KG
"2,4-D",2019,1,1,3955.7,3951.6
"2,4-D",2019,1,3,2519.1,2901.5
"2,4-D",2019,1,5,5411.8,5639.1
"2,4-D",2019,1,7,1404.8,1527.6
"2,4-D",2019,1,9,17250.2,17384.7
"2,4-D",2019,1,11,3496,3496
"2,4-D",2019,1,13,685.4,693.8
"2,4-D",2019,1,15,7778.9,8058.1
"2,4-D",2019,1,17,3762.5,3780.4
"2,4-D",2019,1,19,6093,7132.8
"2,4-D",2019,1,21,2157.2,2694.6
"2,4-D",2019,1,23,267.9,276.3
"2,4-D",2019,1,25,235.5,233.5
"2,4-D",2019,1,27,3200.4,3282.1
"2,4-D",2019,1,29,5314.5,5349.8
"2,4-D",2019,1,31,6148.2,6494.7
"2,4-D",2019,1,33,9749.3,9749.3
"2,4-D",2019,1,35,618.1,623.9
"2,4-D",2019,1,37,1581.7,1586.2
"2,4-D",2019,1,39,5420.6,5758.6
"2,4-D",2019,1,41,4424.1,4603.5
"2,4-D",2019,1,43,22663.7,23031.5
"2,4-D",2019,1,45,2719.9,2927.8
"2,4-D",2019,1,47,9796.9,9794.9
"2,4-D",2019,1,49,26189.7,27189
"2,4-D",2019,1,51,4616.1,4614.1
"2,4-D",2019,1,53,2028.1,2055.4
"2,4-D",2019,1,55,9359.4,9717.5
"2,4-D",2019,1,57,1874.4,1986.1
"2,4-D",2019,1,59,7198.2,7214.4
"2,4-D",2019,1,61,5028.7,5825.6
"2,4-D",2019,1,63,3875.6,3875.6
"2,4-D",2019,1,65,7224.8,7224.8
"2,4-D",2019,1,67,3981.6,4424.6
"2,4-D",2019,1,69,3982.9,4387.5
"2,4-D",2019,1,71,17208.9,19117.4
"2,4-D",2019,1,73,773.9,791.9
"2,4-D",2019,1,75,1278.7,1375.3
"2,4-D",2019,1,77,14975.3,14975.3
"2,4-D",2019,1,79,17015.6,17117.4
"2,4-D",2019,1,81,1974.7,2001.7
"2,4-D",2019,1,83,18856.1,18856.1
"2,4-D",2019,1,85,11114.5,11112.5
"2,4-D",2019,1,87,3235.9,3233.9
"2,4-D",2019,1,89,16291.2,16291.2
"2,4-D",2019,1,91,6035.7,6026.4
"2,4-D",2019,1,93,3998,3998
"2,4-D",2019,1,95,15449,15929.9
"2,4-D",2019,1,97,932.8,1045.3
"2,4-D",2019,1,99,1541.8,1563.9
"2,4-D",2019,1,101,11602.8,11600.8
"2,4-D",2019,1,103,7627.1,7627.9
"2,4-D",2019,1,105,5303.4,5301.4
"2,4-D",2019,1,107,2632.6,3031.5
"2,4-D",2019,1,109,5504,5775.4
"2,4-D",2019,1,111,4353.7,4477.8
"2,4-D",2019,1,113,1990,2200.3
"2,4-D",2019,1,115,6351.7,6356.3
"2,4-D",2019,1,117,2488.6,2661
"2,4-D",2019,1,119,6051.8,6039.7
"2,4-D",2019,1,121,3884.4,4663.7
"2,4-D",2019,1,123,2015.5,2081.5
"2,4-D",2019,1,125,2370.2,2665.7
"2,4-D",2019,1,127,1731.7,1822.4
"2,4-D",2019,1,129,581.5,589.9
"2,4-D",2019,1,131,642.7,649.1
"2,4-D",2019,1,133,2745.9,2745.9
"2,4-D",2019,4,1,135.8,142.2
"2,4-D",2019,4,3,1382.2,1733.4
"2,4-D",2019,4,5,26.1,26.1
"2,4-D",2019,4,7,57.1,58.6
"2,4-D",2019,4,9,781.6,1255
"2,4-D",2019,4,11,99.5,122.7
"2,4-D",2019,4,12,402,536.9
"2,4-D",2019,4,13,2790.3,2855.9
"2,4-D",2019,4,15,57.1,63.5
"2,4-D",2019,4,17,49.1,49.1
"2,4-D",2019,4,19,1609.9,2640.2
"2,4-D",2019,4,21,5328.1,5637.6
"2,4-D",2019,4,23,144,225.6
"2,4-D",2019,4,25,167,174.5
"2,4-D",2019,4,27,936.3,1071.2
"2,4-D",2019,5,1,6042.1,8860.1
"2,4-D",2019,5,3,9484.9,9999.3
"2,4-D",2019,5,5,4853.3,4877.2
"2,4-D",2019,5,7,6180.1,6241
"2,4-D",2019,5,9,8990.8,9029.9
"2,4-D",2019,5,11,728.1,727.9
"2,4-D",2019,5,13,730,725.9
"2,4-D",2019,5,15,7325.5,7359.1
"2,4-D",2019,5,17,17906.7,18348.2
"2,4-D",2019,5,19,4499.7,4727.9
"2,4-D",2019,5,21,10385.6,10385.6
"2,4-D",2019,5,23,5721.3,5758.8
"2,4-D",2019,5,25,837,832.9
"2,4-D",2019,5,27,1586.4,1582.3
"2,4-D",2019,5,29,2679.2,4076.6
"2,4-D",2019,5,31,14537.7,14537.7
"2,4-D",2019,5,33,4250.1,12340.2
"2,4-D",2019,5,35,6599.1,7621
"2,4-D",2019,5,37,4546.5,7145.1
"2,4-D",2019,5,39,643.2,639.1
"2,4-D",2019,5,41,18362,18424.5
"2,4-D",2019,5,43,5353,6601
"2,4-D",2019,5,45,2829.7,3414.7
"2,4-D",2019,5,47,10004.7,11338.7
"2,4-D",2019,5,49,13737,13772.4
"2,4-D",2019,5,51,507.6,514.4
"2,4-D",2019,5,53,564.3,568.1
"2,4-D",2019,5,55,5612,5612
"2,4-D",2019,5,57,23135.4,23144.3
"2,4-D",2019,5,59,1080.3,1093.8
"2,4-D",2019,5,61,14954.7,14957
"2,4-D",2019,5,63,7156.2,7156.2
"2,4-D",2019,5,65,9059.4,9123.8
"2,4-D",2019,5,67,7784.7,7784.7
"2,4-D",2019,5,69,13429,13831.5
"2,4-D",2019,5,71,4340.3,5627.9
"2,4-D",2019,5,73,25034.4,25121.5
"2,4-D",2019,5,75,5188.5,5188.5
"2,4-D",2019,5,77,5312.4,5735.5
"2,4-D",2019,5,79,10179.5,11151.4
"2,4-D",2019,5,81,20593.9,21471.9
"2,4-D",2019,5,83,8642,10305.7
"2,4-D",2019,5,85,4071.2,7009.1
"2,4-D",2019,5,87,6155,6191.6
"2,4-D",2019,5,89,11132.4,11144.1
"2,4-D",2019,5,91,23388.8,24175.8
"2,4-D",2019,5,93,25157.6,25157.6
"2,4-D",2019,5,95,3763.6,4931.8
"2,4-D",2019,5,97,8800.4,8802.7
"2,4-D",2019,5,99,2557.6,2557.2
"2,4-D",2019,5,101,2385.3,2405.1
"2,4-D",2019,5,103,637.4,637.4
"2,4-D",2019,5,105,1114.2,1323.1
"2,4-D",2019,5,107,8254.8,9219.1
"2,4-D",2019,5,109,8484.9,8484.9
"2,4-D",2019,5,111,12821.6,12821.6
"2,4-D",2019,5,113,7056.6,7056.6
"2,4-D",2019,5,115,7336.9,11092.8
"2,4-D",2019,5,117,2812.1,5083
"2,4-D",2019,5,119,742,2248.5
"2,4-D",2019,5,121,5757.8,5757.8
"2,4-D",2019,5,123,4245,5872.2
"2,4-D",2019,5,125,616.2,640
