state_name,state_code,county_name,county_code,year,value
ARKANSAS,5,LEE,77,2018,5960000
MICHIGAN,26,TUSCOLA,157,2003,10660000
NORTH DAKOTA,38,MCLEAN,55,2016,10233000
MISSISSIPPI,28,ISSAQUENA,55,2001,3725000
ARKANSAS,5,MISSISSIPPI,93,2009,3210000
OHIO,39,BUTLER,17,2002,1970300
SOUTH DAKOTA,46,GRANT,51,2007,11789000
OHIO,39,DELAWARE,41,2016,6980000
NORTH CAROLINA,37,TYRRELL,177,2003,2600000
IOWA,19,POTTAWATTAMIE,155,2006,37065000
INDIANA,18,TIPPECANOE,157,2018,18100000
KANSAS,20,WICHITA,203,2014,3189000
MARYLAND,24,TALBOT,41,2008,3320000
IOWA,19,BUTLER,23,2019,35555000
SOUTH DAKOTA,46,SANBORN,111,2011,5488000
IOWA,19,MARSHALL,127,2000,19873000
NEBRASKA,31,CLAY,35,2008,30473900
MISSOURI,29,NEW MADRID,143,2003,12754000
TENNESSEE,47,CARROLL,17,2006,2365000
NORTH DAKOTA,38,STUTSMAN,93,2006,7079000
VIRGINIA,51,SURRY,181,2015,1015000
MISSOURI,29,RALLS,173,2003,3990000
TEXAS,48,COLLIN,85,2007,2486000
TEXAS,48,MILAM,331,2014,4704000
MINNESOTA,27,MEEKER,93,2011,16375000
KANSAS,20,WICHITA,203,2016,8319000
ARKANSAS,5,MILLER,91,2006,1723000
WISCONSIN,55,GREEN,45,2016,19403000
NEBRASKA,31,VALLEY,175,2002,8838400
ALABAMA,1,MADISON,89,2010,2380000
KANSAS,20,COWLEY,35,2004,1127000
OHIO,39,HENRY,69,2004,11977900
MISSOURI,29,VERNON,217,2010,6451000
ILLINOIS,17,PULASKI,153,2008,2622400
ILLINOIS,17,WILL,197,2007,19566300
MINNESOTA,27,SWIFT,151,2005,28188000
MISSOURI,29,CLINTON,49,2007,4876000
IOWA,19,WINNESHIEK,191,2006,21159000
WISCONSIN,55,EAU CLAIRE,35,2004,4830000
TEXAS,48,HUTCHINSON,233,2012,2267000
ILLINOIS,17,MCHENRY,111,2018,16658000
IOWA,19,MAHASKA,123,2010,14580000
MINNESOTA,27,STEELE,147,2014,20757000
GEORGIA,13,GRADY,131,2005,1588000
KENTUCKY,21,GREEN,87,2013,1518000
ILLINOIS,17,KANE,89,2003,13927800
NORTH CAROLINA,37,ROWAN,159,2019,1383000
IOWA,19,HARDIN,83,2002,28600000
ILLINOIS,17,MCLEAN,113,2011,58104000
MISSOURI,29,SHELBY,205,2010,4463000
ILLINOIS,17,KANE,89,2014,14962000
KANSAS,20,ATCHISON,5,2000,5648000
TEXAS,48,SWISHER,437,2007,4809000
LOUISIANA,22,SAINT LANDRY,97,2001,1760000
INDIANA,18,FULTON,49,2002,10110800
COLORADO,8,PHILLIPS,95,2008,16110000
PENNSYLVANIA,42,INDIANA,63,2018,3200000
NEBRASKA,31,DEUEL,49,2003,2090000
OHIO,39,MIAMI,109,2019,9700000
MISSOURI,29,LAWRENCE,109,2015,1701000
PENNSYLVANIA,42,NORTHUMBERLAND,97,2006,3782000
ILLINOIS,17,RICHLAND,159,2012,1273000
MINNESOTA,27,FILLMORE,45,2010,30463000
KANSAS,20,NEMAHA,131,2018,8624600
MISSOURI,29,WORTH,227,2003,1158000
KANSAS,20,LEAVENWORTH,103,2018,2266000
NORTH CAROLINA,37,PAMLICO,137,2007,2000000
ILLINOIS,17,CLINTON,27,2004,14635400
KANSAS,20,HARVEY,79,2000,2589000
ILLINOIS,17,HENDERSON,71,2008,18208500
INDIANA,18,TIPTON,159,2018,13900000
TEXAS,48,COLORADO,89,2007,1286000
NEW YORK,36,WYOMING,121,2005,1810800
INDIANA,18,STARKE,149,2004,9055200
LOUISIANA,22,CATAHOULA,25,2009,3420000
