Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2012","2012","100 g/ha","49871","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2013","2013","100 g/ha","50375","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2014","2014","100 g/ha","43897","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2015","2015","100 g/ha","38580","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2016","2016","100 g/ha","41213","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2017","2017","100 g/ha","41188","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2018","2018","100 g/ha","39024","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2019","2019","100 g/ha","40064","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2020","2020","100 g/ha","46358","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2021","2021","100 g/ha","41194","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2022","2022","100 g/ha","34009","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2012","2012","100 g/ha","309933","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2013","2013","100 g/ha","362135","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2014","2014","100 g/ha","416171","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2015","2015","100 g/ha","347767","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2016","2016","100 g/ha","391856","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2017","2017","100 g/ha","394569","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2018","2018","100 g/ha","394965","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2019","2019","100 g/ha","421498","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2020","2020","100 g/ha","389718","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2021","2021","100 g/ha","385484","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2022","2022","100 g/ha","379376","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2012","2012","100 g/ha","120089","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2013","2013","100 g/ha","126099","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2014","2014","100 g/ha","134508","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2015","2015","100 g/ha","97072","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2016","2016","100 g/ha","130584","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2017","2017","100 g/ha","90613","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2018","2018","100 g/ha","83636","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2019","2019","100 g/ha","119948","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2020","2020","100 g/ha","82710","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2021","2021","100 g/ha","124948","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2022","2022","100 g/ha","107345","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2012","2012","100 g/ha","162847","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2013","2013","100 g/ha","151568","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2014","2014","100 g/ha","145932","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2015","2015","100 g/ha","151418","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2016","2016","100 g/ha","162618","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2017","2017","100 g/ha","145697","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2018","2018","100 g/ha","162543","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2019","2019","100 g/ha","162524","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2020","2020","100 g/ha","168120","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2021","2021","100 g/ha","184894","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2022","2022","100 g/ha","184948","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01211","Asparagus","2012","2012","100 g/ha","33711","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01211","Asparagus","2013","2013","100 g/ha","34874","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01211","Asparagus","2014","2014","100 g/ha","34995","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01211","Asparagus","2015","2015","100 g/ha","36390","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01211","Asparagus","2016","2016","100 g/ha","36050","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01211","Asparagus","2017","2017","100 g/ha","35855","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01211","Asparagus","2018","2018","100 g/ha","40387","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01211","Asparagus","2019","2019","100 g/ha","40823","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01211","Asparagus","2020","2020","100 g/ha","38808","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01211","Asparagus","2021","2021","100 g/ha","40699","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01211","Asparagus","2022","2022","100 g/ha","40008","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01311","Avocados","2012","2012","100 g/ha","95398","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01311","Avocados","2013","2013","100 g/ha","67067","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01311","Avocados","2014","2014","100 g/ha","75023","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01311","Avocados","2015","2015","100 g/ha","86599","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01311","Avocados","2016","2016","100 g/ha","53635","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01311","Avocados","2017","2017","100 g/ha","72359","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01311","Avocados","2018","2018","100 g/ha","77628","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01311","Avocados","2019","2019","100 g/ha","57279","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01311","Avocados","2020","2020","100 g/ha","87852","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01311","Avocados","2021","2021","100 g/ha","65184","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01311","Avocados","2022","2022","100 g/ha","67991","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01312","Bananas","2012","2012","100 g/ha","181845","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01312","Bananas","2013","2013","100 g/ha","181923","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01312","Bananas","2014","2014","100 g/ha","187701","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01312","Bananas","2015","2015","100 g/ha","161994","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01312","Bananas","2016","2016","100 g/ha","115204","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01312","Bananas","2017","2017","100 g/ha","79474","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01312","Bananas","2018","2018","100 g/ha","117327","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01312","Bananas","2019","2019","100 g/ha","102477","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01312","Bananas","2020","2020","100 g/ha","98925","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01312","Bananas","2021","2021","100 g/ha","106138","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01312","Bananas","2022","2022","100 g/ha","102480","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0115","Barley","2012","2012","100 g/ha","35986","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0115","Barley","2013","2013","100 g/ha","38358","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0115","Barley","2014","2014","100 g/ha","39115","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0115","Barley","2015","2015","100 g/ha","37083","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0115","Barley","2016","2016","100 g/ha","41931","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0115","Barley","2017","2017","100 g/ha","39283","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0115","Barley","2018","2018","100 g/ha","41674","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0115","Barley","2019","2019","100 g/ha","41785","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0115","Barley","2020","2020","100 g/ha","41508","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0115","Barley","2021","2021","100 g/ha","32467","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","0115","Barley","2022","2022","100 g/ha","38550","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01701","Beans, dry","2012","2012","100 g/ha","21168","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01701","Beans, dry","2013","2013","100 g/ha","20927","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01701","Beans, dry","2014","2014","100 g/ha","19655","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01701","Beans, dry","2015","2015","100 g/ha","19729","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01701","Beans, dry","2016","2016","100 g/ha","20648","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01701","Beans, dry","2017","2017","100 g/ha","23072","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01701","Beans, dry","2018","2018","100 g/ha","23774","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01701","Beans, dry","2019","2019","100 g/ha","19768","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01701","Beans, dry","2020","2020","100 g/ha","22007","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01701","Beans, dry","2021","2021","100 g/ha","19264","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01701","Beans, dry","2022","2022","100 g/ha","23875","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01355.01","Blueberries","2012","2012","100 g/ha","68621","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01355.01","Blueberries","2013","2013","100 g/ha","75180","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01355.01","Blueberries","2014","2014","100 g/ha","76537","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01355.01","Blueberries","2015","2015","100 g/ha","69881","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01355.01","Blueberries","2016","2016","100 g/ha","71697","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01355.01","Blueberries","2017","2017","100 g/ha","69281","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01355.01","Blueberries","2018","2018","100 g/ha","65230","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01355.01","Blueberries","2019","2019","100 g/ha","71911","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01355.01","Blueberries","2020","2020","100 g/ha","66695","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01355.01","Blueberries","2021","2021","100 g/ha","71779","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01355.01","Blueberries","2022","2022","100 g/ha","68147","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01243","Broad beans and horse beans, green","2012","2012","100 g/ha","30714","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01243","Broad beans and horse beans, green","2013","2013","100 g/ha","29898","E","Estimated value",""
